client,lname,reportfile,lcid
SYNERGY,Saint-Ferme,/syndata/oreport/rreports/20171203/Saint-Ferme_Land_Report_2017-12-04_08-00.pdf,7
SYNERGY,Melbourne,/syndata/oreport/rreports/20171203/Melbourne_Land_Report_2017-12-04_16-00.pdf,24
SYNERGY,TSTLOC_3,/syndata/oreport/rreports/20171203/TSTLOC_3_Land_Report_2017-12-04_07-00.pdf,9
SYNERGY,TSTLOC_4,/syndata/oreport/rreports/20171203/TSTLOC_4_Land_Report_2017-12-04_12-00.pdf,10
SYNERGY,Avignon,/syndata/oreport/rreports/20171203/Avignon_Land_Report_2017-12-04_08-00.pdf,12
SYNERGY,Reading,/syndata/oreport/rreports/20171203/Reading_Land_Report_2017-12-04_07-00.pdf,13
SYNERGY,Bergen,/syndata/oreport/rreports/20171203/Bergen_Land_Report_2017-12-04_08-00.pdf,14
SYNERGY,Montreal,/syndata/oreport/rreports/20171203/Montreal_Land_Report_2017-12-04_02-00.pdf,15
SYNERGY,Philadelphia,/syndata/oreport/rreports/20171203/Philadelphia_Land_Report_2017-12-04_02-00.pdf,16
SYNERGY,Tierra_del_Fuego,/syndata/oreport/rreports/20171203/Tierra_del_Fuego_Land_Report_2017-12-04_02-00.pdf,17
SYNERGY,Lagos,/syndata/oreport/rreports/20171203/Lagos_Land_Report_2017-12-04_07-00.pdf,18
SYNERGY,Doha,/syndata/oreport/rreports/20171203/Doha_Land_Report_2017-12-04_09-00.pdf,19
SYNERGY,Mumbai,/syndata/oreport/rreports/20171203/Mumbai_Land_Report_2017-12-04_11-00.pdf,20
SYNERGY,Chittagong,/syndata/oreport/rreports/20171203/Chittagong_Land_Report_2017-12-04_12-00.pdf,21
SYNERGY,Singapore,/syndata/oreport/rreports/20171203/Singapore_Land_Report_2017-12-04_14-00.pdf,22
SYNERGY,Hong_Kong,/syndata/oreport/rreports/20171203/Hong_Kong_Land_Report_2017-12-04_14-00.pdf,23
SYNERGY,Tokyo,/syndata/oreport/rreports/20171203/Tokyo_Land_Report_2017-12-04_15-00.pdf,25
